IDS_CAMERA,Camera,카메라,Câmera,Cámara,Caméra,الة تصوير
IDS_M,M,M,M,M,M,م
IDS_DELETE_ALL_QUESTION,Do you want to delete all files?,검색된 파일을 모두 삭제하시겠습니까?,Deseja excluir todos os arquivos pesquisados?,Desea eliminar todos los archivos buscados?,Voulez-vous supprimer tous les fichiers?,هل تريد حذف جميع الملفات التي تم البحث عنها؟
IDS_FILEMANAGER_QUESTION_MESSAGE,Question Message,질문 메시지,Pergunta Mensagem,Mensaje de pregunta,Question Message,رسالة استفهام
IDS_NOT_WORKING_NORMALLY,This unit is abnormal.,본 기기가 정상적으로 작동하지 않습니다.,Esta unidade é anormal.,Esta unidad es anormal.,Cette unité est anormale.,هذه الوحدة لا تعمل بشكل طبيعي.
IDS_FILEMANAGER_FILE_TRANSFER,FTP FILE TRANSFER,FTP 파일 전송,TRANS. DE ARQUIVOS FTP,TRANS. DE ARCHIVOS FTP,TRANS.DE FICHIERS FTP,نقل ملفات FTP
IDS_SELFTEST_SUCCESS,PASS,통과,PASSAR,APROBAR,PASSE,يمر
IDS_GATEWAY,Gateway,게이트웨이,Porta de entrada,Puerta,passerelle,بوابة
IDS_DNS_SERVER,DNS Server,DNS 서버,Servidor DNS,Servidor DNS,Serveur DNS,خادم DNS
IDS_IP_ADDRESS,IP Address,IP 주소,Endereço de IP,Dirección IP,Adresse IP,عنوان IP
IDS_PORT,port,포트,porta,puerto,Port,ميناء
IDS_USER_PASS,PASSWORD,비밀번호,SENHA,CLAVE,LE MOT DE PASSE,كلمه السر
IDS_FILTER_NAME,Filter Name,필터 이름,Nome do filtro,Nombre del filtro,Nom du filtre,اسم المرشح
IDS_YES,YES,예,sim,si,oui,نعم
IDS_NO,NO,아니오,não,no,non,لا
IDS_BLUETOOTH_SEARCH_FILTER,Bluetooth Search Filter,블루투스 검색 필터,Filtro de Pesquisa Bluetooth,Filtro de búsqueda Bluetooth,Filtre de recherche Bluetooth,مرشح بحث بلوتوث
IDS_READY,Ready,준비,Pronto,Listo,Prêt,جاهز
IDS_Ready,Ready,준비,Pronto,Listo,Prêt,جاهز
IDS_DZ_PLUS,D+,D+,D+,D+,D+,D+
IDS_DZ_MINUS,D-,D-,D-,D-,D-,D-
IDS_SAVE_IMAGE,Save Image,이미지 저장,Salvar imagem,Guardar imagen,Enregistrer l'image,احفظ الصورة
IDS_FOCUS_PLIS,F+,F+,F+,F+,F+,F+
IDS_FOCUS_MINUS,F-,F-,F-,F-,F-,F-
IDS_DAY,DAY,주간,DIA,DÍA,JOURNÉE,يوم
IDS_NIGHT,NIGHT,야간,NOITE,NOCHE,NUIT,ليل
IDS_INIT,INIT,초기화,INICIAR,INIT,INIT,فيه
IDS_ZOOM_60_100,Z: 60 ~ 100m,Z: 60 ~ 100m,Z: 60 ~ 100m,Z: 60 ~ 100m,Z : 60 ~ 100 m,Z: 60 ~ 100 م
IDS_PQRS_SAVE,pqrs SAVE,pqrs 저장,pqrs S.,pqrs G.,pqrs E.,pqrs حفظ
IDS_JPG_SAVE,JPG SAVE,JPG 저장,JPG S.,JPG G.,E. JPG,حفظ JPG
IDS_Z10,Z10,Z10,Z10,Z10,Z10,Z10
IDS_Z30,Z30,Z30,Z30,Z30,Z30,Z30
IDS_Z60,Z60,Z60,Z60,Z60,Z60,Z60
IDS_Z100,Z100,Z100,Z100,Z100,Z100,Z100
IDS_Z160,Z160,Z160,Z160,Z160,Z160,Z160
IDS_Z260,Z260,Z260,Z260,Z260,Z260,Z260
IDS_PW,P/W,비밀번호,P/W,P/N,P/W,P/W
IDS_HLC_ON,HLC ON,HLC 켬,HLC ON,CLS ENCENDIDO,HLC activé,HLC على
IDS_HLC_OFF,HLC OFF,HLC 끔,HLC DESLIGADO,HLC APAGADO,HLC OFF,إيقاف تشغيل HLC
IDS_DIS_ON,DIS ON,DIS 켬,DIS LIGADO,DIS ACTIVADO,DIS activé,DIS على
IDS_DIS_OFF,DIS OFF,DIS 끔,DIS DESLIGADO,DIS APAGADO,DIS OFF,إيقاف تشغيل DIS
IDS_DEFOG_ON,DEFOG ON,DEFOG 켬,DEFOG LIGADO,DESEMPAÑADOR ACTIVADO,DÉSEMBUAGE activé,DEFOG على
IDS_DEFOG_OFF,DEFOG OFF,DEFOG 끔,DEFOG OFF,DESEMPAÑADOR APAGADO,DÉSEMBUAGE DÉSACTIVÉ,إيقاف تشغيل DEFOG
IDS_DNR_ON,DNR ON,DNR 켬,DNR LIGADO,DNR ACTIVADO,DNR activé,DNR على
IDS_DNR_OFF,DNR OFF,DNR 끔,DNR DESLIGADO,DNR APAGADO,DNR OFF,إيقاف تشغيل DNR
IDS_10_MINUTE,10 minutes,10 분,10 minutos,10 minutos,10 minutes,10 دقائق
IDS_20_MINUTE,20 minutes,20 분,20 minutos,20 minutos,20 minutes,20 دقيقة
IDS_30_MINUTE,30 minutes,30 분,30 minutos,30 minutos,30 minutes,30 دقيقة
IDS_ARE_U_SURE_FACTORY_DEFAILT,Are you sure to set the factory default?,공장 초기화를 실행하시겠습니까?,Tem certeza de definir o padrão de fábrica?,¿Estás seguro de establecer el valor predeterminado de fábrica?,Êtes-vous sûr de définir les paramètres d'usine par défaut ?,هل أنت متأكد من ضبط المصنع الافتراضي؟
IDS_ARE_U_SURE_FACTORY_DEFAULT,Do you want to set a factory reset?,공장 초기화를 실행하시겠습니까?,Deseja realizar uma redef. de fábrica?,Quieres realizar un restable. de fábrica?,Voulez-vous effectuer une réinit. d'usine ?,هل أنت متأكد من ضبط المصنع الافتراضي؟
IDS_PLEASE_INPUT_PW,"Please, input admin password.",관리자 비밀번호를 입력해주세요.,"Insira a senha do administrador.","Ingrese la contraseña de administrador.",Veuillez saisir le mot de passe admin.,"من فضلك ، أدخل كلمة مرور المسؤول."
IDC_SNAPSHOT,Snapshot,스냅샷,Instantâneo,Instantánea,Instantané,لمحة
IDS_STILL_IMAGE_VIEWER,Still Image Viewer,이미지 뷰어,Visualizador de imagens fixas,Visor de imágenes fijas,Visionneuse d'images fixes,عارض الصور الثابتة
IDS_QUIT,Quit,종료,Desistir,Dejar,Quitter,استقال
IDS_ORIGIN,Origin,원본,Origem,Origen,Origine,أصل
IDS_PLAY,Play,실행,Jogar,Jugar,Jouer,يلعب
IDS_PAUSE,Pause,정지,Pausa,Pausa,Pause,وقفة
IDS_PLEASE_INPUT_NETWORK_PASSWORD,"Please, input network password.",네트워크 비밀번호를 입력해주세요.,"Por favor, insira a senha da rede.","Por favor, ingrese la contraseña de la red.",Veuillez saisir le mot de passe du réseau.,"من فضلك ، أدخل كلمة مرور الشبكة."
IDS_ALIGN,Align,얼라인,Alinhar,Alinear,Aligner,محاذاة
IDS_MODE,Mode,모드,Modo,Modo,Mode,الوضع
IDS_CAM,CAM,카메라,câmera,Leva,Came,كام
IDS_CAM_SMALL,Cam,카메라,câmera,Leva,Came,كام
IDS_SERIAL_NUMBER,S/N,S/N,S/N,S/N,S/N,S/N
IDS_SERIAL_NUMBER2,Serial Number,일련 번호,Número de série,Número de serie,Numéro de série,رقم سري
IDS_SYSTEM_INFO,System Info,시스템 정보,Info. do sistema,Info. del sistema,Info. système,معلومات النظام
IDS_PRINT_ERROR1,Cannot connect a printer!!,프린터를 연결할 수 없습니다!!,Não é possível conectar uma impressora!!,¡¡No se puede conectar una impresora!!,Impossible de connecter une imprimante !!,لا يمكن توصيل طابعة !!
IDS_PRINT_ERROR2,Please check settings for the printer,프린터 설정을 확인하십시오,Verifique as configurações da impressora,Compruebe la configuración de la impresora.,Veuillez vérifier les paramètres de l'imprimante,يرجى التحقق من إعدادات الطابعة
IDS_FILEMANAGER_ERROR_MESSAGE,Error Message,에러 메시지,Mensagem de erro,Mensaje de error,Message d'erreur,رسالة خطأ
IDS_PASSWORD_CHANGING,Password Changing,비밀번호 변경,Mudança de Senha,Cambio de contraseña,Changement de mot de passe,تغيير كلمة المرور
IDS_CURRENT,Current,현재 비밀번호,Atual,Actual,Actuel,حاضِر
IDS_NEW,New,새 비밀번호,Novo,Nuevo,Nouveau,جديد
IDS_CONFIRM,Confirm,새 비밀번호 확인,confirme,Confirmar,Confirmer,يتأكد
IDS_SHOW,Show,보임,Mostrar,Show,Montrer,تبين
IDS_WIFI_SSID,WIFI SSID,WIFI SSID,WIFI SSID,WIFI SSID,WIFI SSID,شكراWIFI SSID
IDS_WIFI_SEARCH,WIFI Search,WIFI 검색,Pesquisa WIFI,búsqueda WIFI,Recherche WIFI,يبحث WIFI
IDS_FTP_ID_PW,FTP ID,FTP ID,FTP ID,FTP ID,FTP ID,حسابFTP ID
IDS_PASS,PASS,PASS,PASSAR,APROBAR,PASSER,يمر
IDS_CALIBRATION_SERVICE_REQUIRED,Calibration service required,교정 서비스 필요합니다,Serviço de calibração necessário,Servicio de calibración requerido,Service d'étalonnage requis,خدمة المعايرة مطلوبة
IDS_LOGIN_EXPIRED_DATE,Expired Date,교정 유효기간 만료,Data expirada,Fecha de vencimiento,Date d'expiration,منتهي الصلاحية
IDS_MANUAL_CAPTURE,M,M,M,M,M,M
IDS_SCREEN,S,S,S,S,S,S
IDS_SEARCH_TEXT,Enter the minute interval to search,분단위로 검색하세요,Digite o intervalo de minutos para pesquisar,Ingrese el intervalo de minutos para buscar,Entrez l'intervalle de minutes à rechercher,أدخل الفاصل الزمني للبحث
IDS_FTP_TRANSFER,FTP file transfering,FTP 파일 전송,Transferência de arquivo FTP,Transferencia de archivos FTP,Transfert de fichiers FTP,قل ملف FTP
IDS_FILE_TRANSFER,USB File transfering,USB 파일 전송,Transferência de arquivo USB,Transferencia de archivos USB,Transfert de fichiers USB,قل ملف USB
IDS_DAY1,Day1,주간1,Dia 1,Día 1,Jour1,اليوم 1
IDS_DAY2,Day2,주간2,Dia 2,Día 2,Jour2,اليوم 2
IDS_DAY3,Day3,주간3,Dia 3,Día 3,Jour3,اليوم 3
IDS_NIGHT1,Night1,야간1,Noite1,Noche1,Nuit1,ليلة1
IDS_NIGHT2,Night2,야간2,Noite2,Noche2,Nuit2,ليلة2
IDS_NIGHT3,Night3,야간3,Noite3,Noche3,Nuit3,ليلة3
IDS_REC,REC,녹화중,gravação,grabación,enregistrement,تسجيل
IDS_SAVE_IMAGE1,Save,영상,salvar,guardar,enreg.,الصورة
IDS_SAVE_IMAGE2,Image,저장,imagem,imagen,l'image,احفظ
IDS_NETWORK_PASSWORD,Network password,네트워크 비밀번호,Senha da rede,Contraseña de red,Mot de passe réseau,كلمة مرور الشبكة
IDS_POLICE_OVER_SPEEDING_TICKET,POLICE OVER_SPEEDING TICKET,경찰 과속 단속장,BILHETE DE EXCESSO DE VELOCIDADE DA POLÍCIA,MULTA POR EXCESO DE VELOCIDAD DE LA POLICÍA,AVERTISSEMENT DE POLICE POUR excès de vitesse,تذكرة الشرطة بسبب السرعة الزائدة
IDS_DEVICE_ID,Device ID,디바이스 아이디,ID DE DISPOSITIVO,ID DEL DISPOSITIVO,REFERENCE DE L'APPAREIL,معرف الجهاز
IDS_UN,User Name,담당자명,Nome do responsável,Nombre del responsable,Nom du responsable,اسم الشخص المسؤول
IDS_VIOLATION_SPEED,Violation Speed,위반시 속도,Velocidade de violação,Velocidad de violación,Vitesse de violation,سرعة المخالفة
IDS_RANGE,Range,단속 거리,Faixa,Rango,Gamme,يتراوح
IDS_PRINT_DATE,Print Date,출력일자,Data de impressão,Fecha de impresion,Date d'impression,تاريخ الطباعة
IDS_OFFIEC_ID,Officer's ID,공무원 ID,ID do oficial,identificación del oficial,Carte d'identité de l'officier,هوية الضابط
IDS_SIGNATURE,Signature,서명,Assinatura,Firma,Signature,إمضاء
IDS_RAINY,Rainy,비,Chuvoso,Lluvioso,Pluvieux,ماطر
IDS_IMAGE,I(Image),I(이미지),I(imagem),I(imagen),I(image),I(صورة)
IDS_ENGLISH,english,영어,inglês,inglés,Anglais,إنجليزي
IDS_FRENCH,french,프랑스어,francês,francés,Français,فرنسي
IDS_ARABIC,arabic,아랍어,árabe,Arábica,arabe,عربي
IDS_PORTUGUESE,portuguese,포르투갈어,português,portugués,Portugais,البرتغالية
IDS_SPANISH,spanish,스페인어,espanhol,español,Espagnol,الأسبانية
IDS_KOREAN,korean,한국어,coreano,coreano,coréen,الكورية
